elec #,x,y,z,y_og
1,8.5,0.6,0,0
2,9,1.07563918981607,0.154166666666667,0.5
3,8.5,1.55127837963214,0.308333333333333,1
4,9,2.02691756944821,0.4625,1.5
5,8.5,2.50255675926429,0.616666666666667,2
6,9,2.97819594908036,0.770833333333333,2.5
7,8.5,3.45383513889643,0.925,3
8,9,3.9294743287125,1.07916666666667,3.5
9,8.5,4.40511351852857,1.23333333333333,4
10,9,4.88075270834464,1.3875,4.5
11,8.5,5.35639189816072,1.54166666666667,5
12,9,5.83203108797679,1.69583333333333,5.5
13,8.5,6.30767027779286,1.85,6
14,9,6.80767027779286,1.85,6.5
15,8.5,7.30767027779286,1.85,7
16,8.5,7.76346289903661,1.64444444444444,7.5
17,8.5,8.21925552028035,1.43888888888889,8
18,8.5,8.6750481415241,1.23333333333333,8.5
19,8.5,9.13084076276785,1.02777777777778,9
20,8.5,9.5866333840116,0.822222222222222,9.5
21,8.5,10.0424260052554,0.616666666666667,10
22,8.5,10.4982186264991,0.411111111111111,10.5
23,8.5,10.9540112477428,0.205555555555555,11
24,9.5,0.6,0,0
25,10,1.07563918981607,0.154166666666667,0.5
26,9.5,1.55127837963214,0.308333333333333,1
27,10,2.02691756944821,0.4625,1.5
28,9.5,2.50255675926429,0.616666666666667,2
29,10,2.97819594908036,0.770833333333333,2.5
30,9.5,3.45383513889643,0.925,3
31,10,3.9294743287125,1.07916666666667,3.5
32,9.5,4.40511351852857,1.23333333333333,4
33,10,4.88075270834464,1.3875,4.5
34,9.5,5.35639189816072,1.54166666666667,5
35,10,5.83203108797679,1.69583333333333,5.5
36,9.5,6.30767027779286,1.85,6
37,10,6.80767027779286,1.85,6.5
38,9.5,7.30767027779286,1.85,7
39,9.5,7.76346289903661,1.64444444444444,7.5
40,9.5,8.21925552028035,1.43888888888889,8
41,9.5,8.6750481415241,1.23333333333333,8.5
42,9.5,9.13084076276785,1.02777777777778,9
43,9.5,9.5866333840116,0.822222222222222,9.5
44,9.5,10.0424260052554,0.616666666666667,10
45,9.5,10.4982186264991,0.411111111111111,10.5
46,9.5,10.9540112477428,0.205555555555555,11
47,10.5,2.50255675926429,0.616666666666667,2
48,11,2.97819594908036,0.770833333333333,2.5
49,10.5,3.45383513889643,0.925,3
50,11,3.9294743287125,1.07916666666667,3.5
51,10.5,4.40511351852857,1.23333333333333,4
52,11,4.88075270834464,1.3875,4.5
53,10.5,5.35639189816072,1.54166666666667,5
54,11,5.83203108797679,1.69583333333333,5.5
55,10.5,6.30767027779286,1.85,6
56,11,6.80767027779286,1.85,6.5
57,10.5,7.30767027779286,1.85,7
58,10.5,7.76346289903661,1.64444444444444,7.5
59,10.5,8.21925552028035,1.43888888888889,8
60,10.5,8.6750481415241,1.23333333333333,8.5
61,10.5,9.13084076276785,1.02777777777778,9
62,10.5,9.5866333840116,0.822222222222222,9.5
63,10.5,10.0424260052554,0.616666666666667,10
64,10.5,10.4982186264991,0.411111111111111,10.5
65,10.5,10.9540112477428,0.205555555555555,11
66,11.5,2.50255675926429,0.616666666666667,2
67,11.5,2.97819594908036,0.770833333333333,2.5
68,11.5,3.45383513889643,0.925,3
69,11.5,3.9294743287125,1.07916666666667,3.5
70,11.5,4.40511351852857,1.23333333333333,4
71,11.5,4.88075270834464,1.3875,4.5
72,11.5,5.35639189816072,1.54166666666667,5
73,11.5,5.83203108797679,1.69583333333333,5.5
74,11.5,6.30767027779286,1.85,6
75,11.5,6.80767027779286,1.85,6.5
76,11.5,7.30767027779286,1.85,7
77,11.5,7.76346289903661,1.64444444444444,7.5
78,11.5,8.21925552028035,1.43888888888889,8
79,11.5,8.6750481415241,1.23333333333333,8.5
80,11.5,9.13084076276785,1.02777777777778,9
81,11.5,9.5866333840116,0.822222222222222,9.5
82,11.5,10.0424260052554,0.616666666666667,10
83,11.5,10.4982186264991,0.411111111111111,10.5
84,12.5,0.6,0,0
85,12.5,1.07563918981607,0.154166666666667,0.5
86,12.5,1.55127837963214,0.308333333333333,1
87,12.5,2.02691756944821,0.4625,1.5
88,12.5,2.50255675926429,0.616666666666667,2
89,12,2.97819594908036,0.770833333333333,2.5
90,12.5,3.45383513889643,0.925,3
91,12,3.9294743287125,1.07916666666667,3.5
92,12.5,4.40511351852857,1.23333333333333,4
93,12,4.88075270834464,1.3875,4.5
94,12.5,5.35639189816072,1.54166666666667,5
95,12,5.83203108797679,1.69583333333333,5.5
96,12.5,6.30767027779286,1.85,6
97,12,6.80767027779286,1.85,6.5
98,12.5,7.30767027779286,1.85,7
99,12.5,7.76346289903661,1.64444444444444,7.5
100,12.5,8.21925552028035,1.43888888888889,8
101,12.5,8.6750481415241,1.23333333333333,8.5
102,12.5,9.13084076276785,1.02777777777778,9
103,12.5,9.5866333840116,0.822222222222222,9.5
104,12.5,10.0424260052554,0.616666666666667,10
105,12.5,10.4982186264991,0.411111111111111,10.5
106,12.5,10.9540112477428,0.205555555555555,11
107,13.5,0.6,0,0
108,13,1.07563918981607,0.154166666666667,0.5
109,13.5,1.55127837963214,0.308333333333333,1
110,13,2.02691756944821,0.4625,1.5
111,13.5,2.50255675926429,0.616666666666667,2
112,13,2.97819594908036,0.770833333333333,2.5
113,13.5,3.45383513889643,0.925,3
114,13,3.9294743287125,1.07916666666667,3.5
115,13.5,4.40511351852857,1.23333333333333,4
116,13,4.88075270834464,1.3875,4.5
117,13.5,5.35639189816072,1.54166666666667,5
118,13,5.83203108797679,1.69583333333333,5.5
119,13.5,6.30767027779286,1.85,6
120,13,6.80767027779286,1.85,6.5
121,13.5,7.30767027779286,1.85,7
122,13.5,7.76346289903661,1.64444444444444,7.5
123,13.5,8.21925552028035,1.43888888888889,8
124,13.5,8.6750481415241,1.23333333333333,8.5
125,13.5,9.13084076276785,1.02777777777778,9
126,13.5,9.5866333840116,0.822222222222222,9.5
127,13.5,10.0424260052554,0.616666666666667,10
128,13.5,10.4982186264991,0.411111111111111,10.5
129,13.5,10.9540112477428,0.205555555555555,11
130,14.5,0.6,0,0
131,14,1.07563918981607,0.154166666666667,0.5
132,14.5,1.55127837963214,0.308333333333333,1
133,14,2.02691756944821,0.4625,1.5
134,14.5,2.50255675926429,0.616666666666667,2
135,14,2.97819594908036,0.770833333333333,2.5
136,14.5,3.45383513889643,0.925,3
137,14,3.9294743287125,1.07916666666667,3.5
138,14.5,4.40511351852857,1.23333333333333,4
139,14,4.88075270834464,1.3875,4.5
140,14.5,5.35639189816072,1.54166666666667,5
141,14,5.83203108797679,1.69583333333333,5.5
142,14.5,6.30767027779286,1.85,6
143,14,6.80767027779286,1.85,6.5
144,14.5,7.30767027779286,1.85,7
145,14.5,7.76346289903661,1.64444444444444,7.5
146,14.5,8.21925552028035,1.43888888888889,8
147,14.5,8.6750481415241,1.23333333333333,8.5
148,14.5,9.13084076276785,1.02777777777778,9
149,14.5,9.5866333840116,0.822222222222222,9.5
150,14.5,10.0424260052554,0.616666666666667,10
151,14.5,10.4982186264991,0.411111111111111,10.5
152,14.5,10.9540112477428,0.205555555555555,11
